# compound id (and file prefix); SMILES; iupac name (or alternative if IUPAC is unavailable or not parseable by OEChem); experimental value (kcal/mol); experimental uncertainty (kcal/mol); Mobley group calculated value (GAFF) (kcal/mol); calculated uncertainty (kcal/mol); experimental reference (original or paper this value was taken from); calculated reference; text notes.
mobley_6739648; C1COCCO1; 1,4-dioxane; -5.06; 0.60; -4.27; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4371692; c1ccc2c(c1)C(=O)c3c(ccc(c3C2=O)O)N; 1-amino-4-hydroxy-9,10-anthracenedione; -9.53; 0.28; -10.98; 0.05; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_7769613; CC(C)(C)Br; 2-bromo-2-methyl-propane; 0.84; 0.60; 0.44; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_7869158; CC[C@H](C)O[N+](=O)[O-]; [(2S)-butan-2-yl] nitrate; -1.82; 0.10; -1.86; 0.03; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from 2-butyl nitrate to [(2S)-butan-2-yl] nitrate for better handling/standardization.  
mobley_8739734; CC(C)C(=O)C; 3-methylbutan-2-one; -3.24; 0.60; -3.08; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_7463799; c1ccc(cc1)CCCO; 3-phenylpropan-1-ol; -6.92; 0.60; -5.77; 0.04; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1662128; CCC=C; but-1-ene; 1.38; 0.60; 2.37; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_8899867; C1CCC(C1)O; cyclopentanol; -5.49; 0.60; -4.29; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2390199; CCCC(=O)CCC; heptan-4-one; -2.92; 0.60; -2.70; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1261349; CC(C)(C)C; neopentane; 2.51; 0.60; 2.51; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_172879; c1ccc2c(c1)Oc3ccccc3O2; dibenzo-p-dioxin; -3.15; 0.10; -4.90; 0.02; 10.1007/s10822-012-9568-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2689721; C1CCCCC1; cyclohexane; 1.23; 0.60; 1.50; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2763835; CCOc1ccccc1; ethoxybenzene; -2.22; 0.60; -2.25; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_313406; CCCO; propan-1-ol; -4.85; 0.60; -3.33; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4059279; CN1CCN(CC1)C; 1,4-dimethylpiperazine; -7.58; 0.60; -7.87; 0.03; 10.1139/v91-2; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_4620651; COC(=O)C1CC1; methyl cyclopropanecarboxylate; -4.10; 0.60; -3.60; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_6091882; C=C; ethylene; 1.28; 0.60; 2.33; 0.01; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_6714389; CN; methanamine; -4.55; 0.60; -3.58; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_7099614; C=CCCl; 3-chloroprop-1-ene; -0.57; 0.60; 0.94; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_7578802; C(Br)(Br)Br; bromoform; -2.13; 0.60; -0.53; 0.02; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_8117218; C1[C@@H]2[C@H]3[C@@H]([C@H]1[C@H]4[C@@H]2O4)[C@@]5(C(=C([C@]3(C5(Cl)Cl)Cl)Cl)Cl)Cl; endrin; -4.82; 0.10; -5.18; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_1527293; C[C@@H](c1ccc(c(c1)F)c2ccccc2)C(=O)O; flurbiprofen; -8.42; 0.16; -13.95; 0.05; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Renamed mobley_1527293 from flurbiprofen to (2S)-2-(3-fluoro-4-phenyl-phenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_2078467; C[C@@H](c1ccc(cc1)CC(C)C)C(=O)O; ibuprofen; -7.00; 0.64; -10.86; 0.05; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_2099370; C[C@@H](c1cccc(c1)C(=O)c2ccccc2)C(=O)O; ketoprofen; -10.78; 0.18; -17.24; 0.06; 10.1007/s10822-010-9350-8; 10.1021/acs.jced.7b00104; Renamed mobley_2099370 from ketoprofen to (2S)-2-(3-benzoylphenyl)propanoic acid (the name from the 3D structure) since the former did not completely specify stereochemistry.  
mobley_3047364; CCNc1nc(nc(n1)SC)NC(C)C; 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine; -7.65; 0.45; -10.55; 0.04; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Changed IUPAC name from ametryn to 2-N-ethyl-6-(methylsulfanyl)-4-N-(propan-2-yl)-1,3,5-triazine-2,4-diamine for better handling/standardization.  
mobley_5760563; COS(=O)(=O)OC; dimethyl sulfate; -5.10; 0.60; -8.41; 0.03; 10.1139/v78-385; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_7326706; CCOP(=S)(OCC)Oc1c(cc(c(n1)Cl)Cl)Cl; chlorpyrifos; -5.04; 0.21; -9.62; 0.05; 10.1021/jp806724u; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_820789; CCCC(=O)O; butyric acid; -6.35; 0.60; -9.43; 0.03; 10.1021/ct050097l; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  
mobley_9897248; CC(=CCC/C(=C\CO)/C)C; (2Z)-3,7-dimethylocta-2,6-dien-1-ol; -4.78; 0.25; -2.60; 0.04; SAMPL4_Guthrie; 10.1021/acs.jced.7b00104; Experimental uncertainty not presently available, so assigned a default value.  Former IUPAC name Nerol replaced with one generated from the 3D structure, (2Z)-3,7-dimethylocta-2,6-dien-1-ol  


